,DEPARTURE_DATE,TAIL_NUMBER,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY
0,2015-01-01,N407AS,430,408.0,-22.0
1,2015-01-01,N132EV,800,757.0,-3.0
2,2015-01-01,N765US,750,746.0,-4.0
3,2015-01-01,N919FR,820,814.0,-6.0
4,2015-01-01,N3759,735,814.0,39.0
5,2015-01-01,N930SW,707,702.0,-5.0
6,2015-01-01,N762AS,812,802.0,-10.0
7,2015-01-01,N217AG,850,847.0,-3.0
8,2015-01-01,N443WN,1015,955.0,-20.0
9,2015-01-01,N536AS,848,828.0,-20.0
10,2015-01-01,N749US,1010,1011.0,1.0
11,2015-01-01,N481AA,1235,1237.0,2.0
12,2015-01-01,N33264,1034,1005.0,-29.0
13,2015-01-01,N816SK,917,907.0,-10.0
14,2015-01-01,N713SK,1210,1526.0,196.0
15,2015-01-01,N47414,1208,1147.0,-21.0
16,2015-01-01,N3HVAA,950,1011.0,21.0
17,2015-01-01,N292JB,925,911.0,-14.0
18,2015-01-01,N15912,910,904.0,-6.0
19,2015-01-01,N975SW,910,906.0,-4.0
20,2015-01-01,N509AY,1013,1011.0,-2.0
21,2015-01-01,N298WN,1020,1007.0,-13.0
22,2015-01-01,N965SW,955,955.0,0.0
23,2015-01-01,N476UA,1018,1027.0,9.0
24,2015-01-01,N751SK,1210,1209.0,-1.0
25,2015-01-01,N758EV,1033,1030.0,-3.0
26,2015-01-01,N17159,1033,1039.0,6.0
27,2015-01-01,N923DL,1128,1122.0,-6.0
28,2015-01-01,N280WN,1005,1105.0,60.0
29,2015-01-01,N978DL,1112,1100.0,-12.0
30,2015-01-01,N8601C,1650,1644.0,-6.0
31,2015-01-01,N14950,1041,1024.0,-17.0
32,2015-01-01,N723EV,1110,1101.0,-9.0
33,2015-01-01,N580UW,1154,1138.0,-16.0
34,2015-01-01,N8317M,1300,1333.0,33.0
35,2015-01-01,N613AS,1404,1403.0,-1.0
36,2015-01-01,N939MQ,1043,1107.0,24.0
37,2015-01-01,N12528,1138,1136.0,-2.0
38,2015-01-01,N423AS,1642,1657.0,15.0
39,2015-01-01,N261WN,1440,1429.0,-11.0
41,2015-01-01,N14916,1301,1238.0,-23.0
42,2015-01-01,N959WN,1345,1327.0,-18.0
43,2015-01-01,N608SW,1120,1121.0,1.0
44,2015-01-01,N947SW,1327,1304.0,-23.0
45,2015-01-01,N63820,1320,1426.0,66.0
46,2015-01-01,N740SW,1340,1333.0,-7.0
47,2015-01-01,N295WN,1240,1234.0,-6.0
48,2015-01-01,N3HFAA,1725,1747.0,22.0
49,2015-01-01,N791SK,1332,1352.0,20.0
50,2015-01-01,N32404,1350,1347.0,-3.0
51,2015-01-01,N429WN,1320,1326.0,6.0
52,2015-01-01,N574AA,1305,1249.0,-16.0
53,2015-01-01,N815DN,1425,1354.0,-31.0
54,2015-01-01,N507MQ,1353,1401.0,8.0
55,2015-01-01,N361VA,1350,1356.0,6.0
56,2015-01-01,N625AS,1504,1456.0,-8.0
57,2015-01-01,N87512,1607,1638.0,31.0
58,2015-01-01,N642WN,1450,1444.0,-6.0
59,2015-01-01,N647MQ,1358,1437.0,39.0
60,2015-01-01,N475HA,1324,1329.0,5.0
61,2015-01-01,N476WN,1455,1438.0,-17.0
62,2015-01-01,N560WN,1450,1443.0,-7.0
64,2015-01-01,N527MQ,1445,1512.0,27.0
65,2015-01-01,N821SK,1434,1426.0,-8.0
66,2015-01-01,N840AW,1541,1524.0,-17.0
67,2015-01-01,N3GLAA,1715,1707.0,-8.0
68,2015-01-01,N909DA,1450,1440.0,-10.0
69,2015-01-01,N960AT,1600,1542.0,-18.0
70,2015-01-01,N486WN,1605,1630.0,25.0
71,2015-01-01,N939WN,1650,1653.0,3.0
72,2015-01-01,N469AA,1640,1655.0,15.0
73,2015-01-01,N919EV,1609,1609.0,0.0
74,2015-01-01,N256WN,1700,1748.0,48.0
75,2015-01-01,N435SW,1510,1513.0,3.0
76,2015-01-01,N13161,1539,1530.0,-9.0
77,2015-01-01,N3FWAA,1724,1718.0,-6.0
78,2015-01-01,N916DL,1658,1638.0,-20.0
79,2015-01-01,N840AS,1513,1504.0,-9.0
80,2015-01-01,N826MQ,1647,1633.0,-14.0
81,2015-01-01,N397SW,1805,1750.0,-15.0
82,2015-01-01,N637MQ,1728,1755.0,27.0
83,2015-01-01,N11206,1817,1807.0,-10.0
84,2015-01-01,N8634A,1845,1855.0,10.0
85,2015-01-01,N627AS,1743,1733.0,-10.0
86,2015-01-01,N25134,1909,1909.0,0.0
87,2015-01-01,N271AY,1819,1906.0,47.0
88,2015-01-01,N440LV,1705,1658.0,-7.0
89,2015-01-01,N3BSAA,1655,1713.0,18.0
90,2015-01-01,N660DL,1750,1730.0,-20.0
91,2015-01-01,N823AS,1800,1754.0,-6.0
92,2015-01-01,N933WN,1745,1751.0,6.0
93,2015-01-01,N921WN,1740,1745.0,5.0
94,2015-01-01,N629NK,1751,1734.0,-17.0
95,2015-01-01,N563UW,1816,1852.0,36.0
96,2015-01-01,N4YNAA,2120,2200.0,40.0
97,2015-01-01,N762SW,1850,1837.0,-13.0
98,2015-01-01,N935DL,2011,1953.0,-18.0
99,2015-01-01,N927EV,1940,1933.0,-7.0
100,2015-01-01,N613MQ,1838,1836.0,-2.0
101,2015-01-01,N449WN,1855,1908.0,13.0
102,2015-01-01,N464AS,2045,2035.0,-10.0
103,2015-01-01,N660MQ,1823,1937.0,74.0
104,2015-01-01,N921FR,1850,1845.0,-5.0
105,2015-01-01,N600WN,2000,2024.0,24.0
106,2015-01-01,N804AW,2007,2019.0,12.0
107,2015-01-01,N5EAAA,2225,2343.0,78.0
108,2015-01-01,N889AS,1824,1957.0,93.0
109,2015-01-01,N14977,1945,1951.0,6.0
110,2015-01-01,N8604K,1930,1919.0,-11.0
111,2015-01-01,N915DL,2102,2058.0,-4.0
112,2015-01-01,N697SW,2025,2100.0,35.0
113,2015-01-01,N562JB,1947,1928.0,-19.0
114,2015-01-01,N248WN,1920,1907.0,-13.0
115,2015-01-01,N925SW,1946,1935.0,-11.0
116,2015-01-01,N7707C,2050,2253.0,123.0
117,2015-01-01,N3DDAA,2250,2244.0,-6.0
118,2015-01-01,N842UA,2124,2103.0,-21.0
119,2015-01-01,N609AS,2118,2111.0,-7.0
120,2015-01-01,N908SW,1924,1902.0,-22.0
121,2015-01-01,N691CA,2104,2049.0,-15.0
122,2015-01-01,N709UW,2040,2058.0,18.0
123,2015-01-01,N661JB,2245,2311.0,26.0
124,2015-01-01,N928MQ,2053,2100.0,7.0
125,2015-01-01,N204FR,2317,12.0,55.0
126,2015-01-01,N172US,2246,2227.0,-19.0
127,2015-01-01,N438SW,2133,2327.0,114.0
128,2015-01-01,N8605E,2115,2145.0,30.0
129,2015-01-01,N239WN,2140,2154.0,14.0
130,2015-01-01,N740SW,2145,2145.0,0.0
131,2015-01-01,N649JB,2340,2324.0,-16.0
132,2015-01-01,N819AW,2257,2255.0,-2.0
133,2015-01-01,N3GRAA,2344,2344.0,0.0
134,2015-01-01,N485AA,2335,119.0,104.0
135,2015-01-01,N687MQ,2333,2333.0,0.0
136,2015-01-01,N497UA,2311,2304.0,-7.0
137,2015-01-01,N76515,530,518.0,-12.0
